 Iso   Z  E(gamma)   DE     Sigma    DSigma      T1/2     T1/2(s)  dT1/2(s)  mode
149ND 60  1290.110   .060  5.90E-06  1.10E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   567.560   .000  2.40E-05  5.02E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   657.200   .000  2.60E-05  1.10E-05    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   849.926   .025  3.10E-05  3.05E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   886.590   .080  7.80E-06  1.51E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   896.650   .140  5.50E-06  1.80E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   915.350   .090  3.00E-06  1.50E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   952.000   .000  1.10E-05  4.00E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1041.950   .030  4.10E-05  4.06E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1100.770   .030  7.00E-05  7.10E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1123.470   .080  2.10E-05  3.02E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1197.840   .060  9.60E-06  1.51E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1312.130   .060  1.04E-05  1.51E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   978.800   .000  2.20E-05  7.01E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   661.900   .110  7.00E-06  3.00E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   854.740   .000  6.30E-06  1.50E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   865.000   .050  1.90E-05  9.01E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   986.680   .100  3.30E-06  7.02E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1051.900   .110  6.30E-06  1.80E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1141.770   .080  3.70E-06  1.50E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1259.620   .070  5.90E-06  1.10E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1448.070   .190  7.00E-07  4.00E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1135.940   .090  3.00E-06  1.10E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1225.670   .110  2.20E-06  7.01E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1284.490   .130  2.20E-06  7.01E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1307.600   .000  1.50E-06  7.00E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1381.420   .080  3.00E-06  7.02E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1495.800   .140  2.20E-06  7.01E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60   818.180   .000  8.10E-06  2.20E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1021.800   .000  3.70E-06  1.50E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1171.970   .100  5.50E-06  1.10E-06    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1280.280   .120  1.50E-06  7.00E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1298.320   .100  1.10E-06  7.00E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1357.260   .110  3.00E-06  7.02E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1454.290   .120  1.80E-06  7.01E-07    1.728 H  6.22E+03  3.60E+00 B-
149ND 60  1568.430   .180  7.00E-07  4.00E-07    1.728 H  6.22E+03  3.60E+00 B-
151ND 60    85.120   .010  1.38E-03  6.12E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60    31.670   .030  3.00E-04  4.12E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   116.800   .010  2.62E-02  9.65E-04    12.44 M  7.46E+02  4.20E+00 B-
151ND 60    58.280   .010  2.50E-04  1.99E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60    89.960   .010  1.03E-03  5.28E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   175.070   .010  4.25E-03  2.00E-04    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   112.150   .050  7.90E-05  1.33E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   197.270   .010  1.43E-04  1.02E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   138.890   .010  4.74E-03  2.12E-04    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   170.760   .000  2.70E-04  5.08E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   255.680   .010  9.92E-03  3.78E-04    12.44 M  7.46E+02  4.20E+00 B-
151ND 60    63.810   .060  2.30E-05  1.00E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60    86.080   .100  3.60E-05  1.80E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   176.090   .080  1.88E-04  1.10E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60    68.980   .010  8.50E-04  4.91E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   149.610   .010  1.97E-04  1.12E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   207.700   .100  3.00E-05  5.10E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   239.600   .060  2.50E-04  1.99E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   324.680   .020  3.22E-04  2.10E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   170.760   .020  1.93E-03  9.53E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   426.470   .030  2.60E-04  3.12E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   102.450   .020  3.31E-04  2.11E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   165.990   .040  4.10E-05  6.16E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   171.400   .100  1.10E-04  3.02E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   229.900   .050  2.20E-05  6.05E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   310.400   .110  2.00E-05  7.03E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   341.950   .070  3.90E-05  7.12E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   427.200   .200  7.00E-05  3.01E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60    80.740   .030  1.61E-04  1.05E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   183.190   .020  3.04E-04  1.36E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   252.230   .040  8.90E-05  9.48E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   332.780   .020  4.60E-04  3.37E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   391.130   .020  3.10E-05  1.01E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   422.600   .200  2.50E-04  4.09E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   507.840   .120  5.60E-05  8.22E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60    97.870   .050  1.00E-05  5.01E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   199.680   .020  1.79E-04  1.08E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   268.670   .040  1.07E-04  9.69E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   407.550   .020  3.40E-04  1.45E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   439.220   .030  2.14E-04  1.15E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   524.310   .040  3.40E-04  1.45E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   104.900   .600  2.70E-05  9.05E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   270.890   .030  2.14E-04  1.94E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   334.650   .140  3.20E-05  1.11E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   357.000   .020  2.59E-04  2.00E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   415.200   .300  1.80E-05  9.02E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   446.880   .070  1.25E-04  9.93E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   531.970   .060  8.10E-05  6.59E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   113.880   .190  6.30E-05  1.81E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   284.700   .100  2.90E-05  8.06E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   365.350   .110  5.60E-05  9.19E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   423.560   .020  3.98E-03  1.56E-04    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   540.600   .300  2.90E-05  6.08E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   402.330   .020  1.70E-04  3.05E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   460.590   .020  6.43E-04  2.81E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   492.240   .100  6.70E-05  6.41E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   577.360   .040  2.41E-04  1.21E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   169.200   .060  5.00E-05  7.20E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   206.160   .100  2.90E-05  3.15E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   222.180   .060  3.10E-05  9.06E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   238.630   .020  3.22E-04  2.10E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   320.090   .030  4.10E-04  3.30E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   421.800   .200  9.00E-05  4.01E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   490.780   .110  6.50E-05  6.38E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   629.740   .050  9.80E-05  9.58E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   746.500   .000  5.00E-06  4.00E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   580.200   .300  1.10E-05  5.01E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   639.000   .500  1.40E-05  6.02E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   670.390   .060  2.23E-04  1.17E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   755.570   .030  7.86E-04  3.19E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   232.920   .130  2.20E-05  6.05E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   249.290   .030  2.23E-04  1.95E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   347.130   .020  2.68E-04  2.01E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   518.000   .200  3.60E-05  7.10E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   301.800   .200  4.30E-05  1.21E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   612.220   .070  5.00E-05  6.23E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   634.000   .300  1.80E-05  5.04E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   724.280   .070  1.25E-04  1.85E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   809.230   .100  1.52E-04  1.87E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60    94.400   .150  1.07E-05  1.84E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   263.560   .020  5.30E-04  3.49E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   300.580   .020  1.22E-03  5.72E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   316.560   .070  3.10E-05  6.09E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   413.500   .300  2.70E-05  9.05E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   414.630   .080  1.16E-04  9.80E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   516.210   .150  4.80E-05  8.16E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   585.220   .030  8.80E-04  7.60E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   724.280   .070  7.10E-05  1.82E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   841.070   .040  5.10E-04  5.28E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   596.640   .080  2.86E-04  2.04E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   851.800   .000  8.00E-05  3.01E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   275.520   .030  1.52E-04  1.87E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   312.630   .030  1.61E-04  1.88E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   321.060   .050  1.34E-04  1.01E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   344.990   .100  2.70E-05  6.07E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   597.600   .200  1.43E-04  1.86E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   677.880   .030  1.60E-03  6.69E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   736.230   .030  3.98E-03  1.61E-04    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   767.890   .060  1.79E-04  1.08E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   853.300   .120  1.40E-04  3.04E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   362.700   .200  1.50E-05  6.02E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   673.220   .170  6.30E-05  8.27E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   695.700   .500  2.20E-05  1.10E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   753.800   .000  1.80E-05  9.02E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   785.280   .080  9.80E-05  9.58E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   870.700   .110  7.10E-05  9.31E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   297.300   .000  7.00E-06  5.01E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   366.900   .300  1.80E-05  7.03E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   550.040   .030  4.11E-04  1.65E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   619.010   .040  2.23E-04  1.95E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   757.900   .300  2.50E-05  1.00E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   874.500   .200  7.00E-05  8.34E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   373.570   .000  1.80E-05  9.02E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   573.000   .500  1.10E-05  5.01E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   780.700   .300  2.40E-05  6.05E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   812.600   .200  8.40E-05  1.33E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   897.650   .090  1.88E-04  1.10E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   158.790   .060  6.30E-05  6.36E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   167.880   .070  7.10E-05  7.39E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   337.120   .160  2.80E-05  8.05E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   486.980   .190  4.60E-05  7.17E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   589.610   .030  1.97E-04  1.12E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   658.610   .030  4.91E-04  2.44E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   739.200   .030  1.02E-03  4.55E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   797.530   .020  3.17E-03  1.27E-04    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   829.160   .050  1.52E-04  1.03E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   914.280   .040  6.20E-04  5.41E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   418.400   .200  3.60E-05  6.12E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   687.500   .300  1.40E-05  5.02E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   858.300   .200  7.10E-05  1.13E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   943.170   .070  2.50E-04  1.23E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   211.360   .080  4.60E-05  7.17E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   380.100   .200  2.10E-05  8.03E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   841.070   .000  1.07E-04  1.84E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   872.500   .000  9.00E-06  9.01E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   958.180   .000  3.60E-05  1.80E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   449.200   .200  2.10E-05  8.03E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   465.600   .500  1.50E-05  7.02E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   481.920   .130  3.70E-05  6.13E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   562.730   .050  1.43E-04  1.02E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   665.210   .110  6.30E-05  7.31E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   734.000   .200  6.80E-05  1.81E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   792.400   .400  2.60E-05  7.05E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   873.100   .000  9.00E-06  9.01E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   904.700   .200  6.30E-05  1.81E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   989.710   .160  3.50E-05  5.14E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   925.500   .100  1.80E-05  9.02E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1010.800   .300  1.30E-05  9.01E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1073.100   .100  7.20E-05  6.47E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   292.150   .110  3.80E-05  9.09E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   323.800   .000  9.00E-06  5.01E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   377.730   .090  3.70E-05  8.10E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   600.800   .300  1.70E-05  6.03E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   625.600   .200  2.10E-05  5.05E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   705.850   .120  5.10E-05  5.28E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   958.180   .040  3.93E-04  2.23E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1016.400   .030  1.68E-03  6.91E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1048.110   .050  4.11E-04  2.27E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   919.930   .120  6.20E-05  9.24E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   373.570   .110  5.50E-05  1.12E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   427.650   .050  1.30E-04  3.03E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   605.800   .300  1.60E-05  5.03E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   643.110   .130  4.50E-05  5.22E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1066.570   .060  1.10E-04  6.01E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   326.300   .200  1.90E-05  6.03E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   391.700   .000  9.00E-06  5.01E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   454.600   .200  2.80E-05  5.09E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   676.800   .500  3.60E-05  1.80E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   773.620   .090  1.79E-04  1.90E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   876.390   .070  2.59E-04  1.25E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1084.000   .300  1.70E-05  5.03E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   383.200   .300  1.60E-05  7.02E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   423.560   .000  7.10E-05  4.65E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   444.700   .000  9.00E-06  9.01E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   445.530   .110  7.10E-05  9.31E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   456.680   .110  4.80E-05  5.25E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   488.180   .120  7.70E-05  7.46E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   542.060   .030  3.40E-04  1.45E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   551.100   .000  9.00E-06  5.01E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   720.300   .000  1.80E-05  9.02E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   765.400   .060  1.16E-04  9.80E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   773.620   .090  4.50E-05  9.13E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   789.950   .070  7.10E-05  9.31E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   870.700   .110  5.70E-05  9.20E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   973.230   .100  1.15E-04  9.79E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1041.910   .080  2.14E-04  1.15E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1122.630   .030  2.74E-03  1.05E-04    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1180.890   .020  8.93E-03  3.49E-04    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1213.180   .000  1.30E-05  9.01E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1297.610   .050  1.34E-04  1.01E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   459.800   .000  3.60E-06  1.80E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   753.000   .200  4.00E-05  1.11E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   789.950   .090  3.60E-05  9.08E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   798.200   .500  1.00E-04  3.00E-04    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   503.800   .300  6.00E-06  4.01E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1099.950   .130  6.50E-05  9.26E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   648.400   .300  4.00E-06  3.00E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   854.000   .500  3.60E-05  1.80E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   886.800   .300  2.80E-05  6.07E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1070.030   .130  4.30E-05  5.20E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1139.000   .200  3.80E-05  5.16E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1395.000   .300  6.60E-05  1.22E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   527.600   .300  1.70E-05  5.03E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   847.120   .060  5.90E-05  8.24E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   892.700   .200  4.40E-05  8.13E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1169.200   .500  1.52E-04  1.03E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   592.400   .200  1.60E-05  5.03E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   867.600   .500  4.50E-05  9.13E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   904.700   .200  7.10E-05  1.82E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   912.500   .200  7.10E-05  1.82E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   936.800   .300  2.90E-05  1.30E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1189.240   .090  1.79E-04  1.08E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1269.600   .200  4.60E-05  1.31E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1328.220   .080  1.70E-04  1.89E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1359.940   .090  8.80E-05  5.81E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1445.400   .200  3.30E-05  3.20E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   709.300   .000  5.00E-06  5.00E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   815.400   .300  2.90E-05  9.05E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1387.100   .400  1.50E-05  4.03E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1049.500   .200  5.40E-05  9.18E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1414.900   .300  6.30E-06  1.81E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   702.800   .400  1.30E-05  5.02E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   777.100   .300  1.30E-05  5.02E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1040.400   .200  4.40E-05  7.15E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1077.120   .100  8.00E-05  7.50E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1617.940   .060  2.23E-04  1.95E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   744.000   .000  1.80E-05  9.02E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1191.100   .400  2.60E-05  7.05E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1293.610   .050  2.05E-04  1.13E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1362.780   .040  2.05E-04  1.13E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1501.800   .200  2.10E-05  3.08E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1533.600   .200  1.43E-05  1.86E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   682.000   .500  2.10E-05  8.03E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   741.700   .200  3.10E-05  7.08E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   787.200   .500  1.30E-05  5.02E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60   865.900   .500  2.70E-05  9.05E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1115.400   .300  3.70E-05  6.13E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1131.600   .200  3.80E-05  1.11E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1639.790   .130  1.34E-05  1.01E-06    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1074.000   .500  2.70E-05  1.30E-05    12.44 M  7.46E+02  4.20E+00 B-
151ND 60  1111.000   .400  1.30E-05  5.02E-06    12.44 M  7.46E+02  4.20E+00 B-
